# label,M,K,N,TILE_M,TILE_K_L2,TILE_K_L1,TILE_N,HERD_M,HERD_N
# ---- qkt_even : M=192 K=64 N=291->320 ----
qkte_a,192,64,320,48,64,64,80,4,4
qkte_b,192,64,320,48,64,32,80,4,4
qkte_c,192,64,320,32,64,64,80,6,4
qkte_d,192,64,320,64,64,64,80,3,4
qkte_e,192,64,320,48,32,32,80,4,4
qkte_f,192,64,320,48,64,64,16,4,4
qkte_g,192,64,384,48,64,64,96,4,4
# ---- qkt_odd : M=192 K=64 N=241->256 ----
qkto_a,192,64,256,48,64,64,64,4,4
qkto_b,192,64,256,48,64,32,64,4,4
qkto_c,192,64,256,32,64,64,64,6,4
qkto_d,192,64,256,64,64,64,64,3,4
qkto_e,192,64,256,48,64,64,32,4,4
# ---- pv_even : M=192 K=291->320 N=64 ----
pve_a,192,320,64,48,320,32,16,4,4
pve_b,192,320,64,48,64,64,16,4,4
pve_c,192,320,64,32,320,32,16,6,4
pve_d,192,320,64,64,320,32,16,3,4
pve_e,192,320,64,48,160,32,16,4,4
pve_f,192,320,64,48,320,64,16,4,4
# ---- pv_odd : M=192 K=241->256 N=64 ----
pvo_a,192,256,64,48,256,32,16,4,4
pvo_b,192,256,64,48,64,64,16,4,4
pvo_c,192,256,64,32,256,32,16,6,4
pvo_d,192,256,64,64,256,32,16,3,4
pvo_e,192,256,64,48,128,32,16,4,4
