# label,M,K,N,TILE_M,TILE_K_L2,TILE_K_L1,TILE_N,HERD_M,HERD_N
# --- core per-layer projections, M=50 padded to 64 ---
q_proj,64,720,960,16,144,48,80,4,4
kv_even,64,720,320,16,144,48,80,4,4
o_proj,64,960,720,16,320,32,80,4,3
o_proj_pad768,64,960,768,16,320,32,96,4,4
gate_up,64,720,2048,16,144,48,128,4,4
gate_up_v2,64,720,2048,16,240,80,128,4,4
gate_up_v4,64,720,2048,16,144,48,64,4,4
down,64,2048,720,16,256,32,80,4,3
down_v2,64,2048,720,16,512,32,80,4,3
down_v3,64,2048,720,16,128,32,80,4,3
down_pad768,64,2048,768,16,256,32,96,4,4
# --- cross-attn layers: expert k/v applied to the 241-token prefix cache ---
kv_cross,256,320,320,32,320,32,80,8,4
kv_cross_b,256,320,320,32,160,32,80,8,4
# --- fused-projection variants (QKV concat 960+320+320=1600; gate+up concat 4096) ---
qkv_fused,64,720,1600,16,144,48,80,4,4
gateup_fused,64,720,4096,16,144,48,128,4,4
# --- small per-step ops ---
atmlp_in,64,1440,720,16,288,32,80,4,3
atmlp_in_v2,64,1440,720,16,480,32,80,4,3
atmlp_out,64,720,720,16,144,48,80,4,3
act_in,64,32,720,16,32,32,80,4,3
act_out,64,720,32,16,144,48,32,4,1
# --- M-padding / latency-floor probe ---
mpad_q128,128,720,960,16,144,48,80,8,4
mpad_q256,256,720,960,32,144,48,80,8,4
# --- control: known-good backbone shape, proves the datapath this session ---
ctrl_bb_qo,256,960,960,32,320,32,80,8,4
