label,M,K,N,tile_m,tile_k_l2,tile_k_l1,tile_n,herd_m,herd_n,status,latency_us,gflops,mean_rel_L1
ktile720_a,64,720,960,16,240,48,80,4,4,NUMFAIL,161.5,5.478040e+02,1.016e+00
ktile720_b,64,720,960,16,720,48,80,4,4,NUMFAIL,172.9,5.117131e+02,8.957e-01
ktile720_c,64,720,960,16,144,48,80,4,4,PASS,147.7,5.991717e+02,9.393e-03
ktile720_d,64,720,960,16,240,80,80,4,4,PASS,153.5,5.762686e+02,9.393e-03
ktile720_e,64,720,960,16,360,40,80,4,4,NUMFAIL,163.3,5.417980e+02,7.804e-01
ktile720_f,64,720,960,16,720,80,80,4,4,NUMFAIL,171.4,5.162588e+02,8.729e-01
ktile720_g,64,720,960,16,720,144,80,4,4,BUILDFAIL,,,
kpad768,64,768,960,16,256,32,80,4,4,PASS,158.4,5.956327e+02,9.417e-03
q_proj,64,720,960,16,144,48,80,4,4,PASS,159.1,5.560901e+02,9.393e-03
kv_even,64,720,320,16,144,48,80,4,4,PASS,95.2,3.097524e+02,9.430e-03
o_proj,64,960,720,16,320,32,80,4,3,PASS,165.9,5.333423e+02,9.466e-03
o_proj_pad768,64,960,768,16,320,32,96,4,4,PASS,142.7,6.615394e+02,9.458e-03
gate_up,64,720,2048,16,144,48,128,4,4,NUMFAIL,189.5,9.961448e+02,9.426e-03
gate_up_v2,64,720,2048,16,240,80,128,4,4,BUILDFAIL,,,
gate_up_v4,64,720,2048,16,144,48,64,4,4,NUMFAIL,222.6,8.479028e+02,9.426e-03
down,64,2048,720,16,256,32,80,4,3,PASS,212.3,8.891568e+02,9.360e-03
down_v2,64,2048,720,16,512,32,80,4,3,PASS,217.6,8.675473e+02,9.360e-03
down_v3,64,2048,720,16,128,32,80,4,3,PASS,226.6,8.328175e+02,9.360e-03
down_pad768,64,2048,768,16,256,32,96,4,4,PASS,184.4,1.091938e+03,9.276e-03
kv_cross,256,320,320,32,320,32,80,8,4,NUMFAIL,113.6,4.616467e+02,9.399e-03
kv_cross_b,256,320,320,32,160,32,80,8,4,NUMFAIL,113.6,4.615411e+02,7.932e-01
qkv_fused,64,720,1600,16,144,48,80,4,4,PASS,206.8,7.129942e+02,9.441e-03
gateup_fused,64,720,4096,16,144,48,128,4,4,PASS,324.6,1.162773e+03,9.436e-03
atmlp_in,64,1440,720,16,288,32,80,4,3,NUMFAIL,197.6,6.717444e+02,8.016e-01
atmlp_in_v2,64,1440,720,16,480,32,80,4,3,NUMFAIL,199.4,6.656461e+02,8.996e-01
atmlp_out,64,720,720,16,144,48,80,4,3,PASS,148.3,4.474843e+02,9.453e-03
act_in,64,32,720,16,32,32,80,4,3,NUMFAIL,115.9,2.544319e+01,9.263e-03
act_out,64,720,32,16,144,48,32,4,1,PASS,79.2,3.721951e+01,9.010e-03
mpad_q128,128,720,960,16,144,48,80,8,4,NUMFAIL,173.8,1.018137e+03,9.416e-03
mpad_q256,256,720,960,32,144,48,80,8,4,NUMFAIL,198.9,1.779675e+03,9.388e-03
ctrl_bb_qo,256,960,960,32,320,32,80,8,4,PASS,230.6,2.046138e+03,9.486e-03
atmlp_in_v3,64,1440,720,16,144,48,80,4,3,PASS,177.1,7.492816e+02,9.290e-03
atmlp_in_v4,64,1440,720,16,240,80,80,4,3,PASS,180.2,7.364589e+02,9.290e-03
atmlp_in_v5,64,1440,768,16,144,48,96,4,4,PASS,152.0,9.313626e+02,9.336e-03
atmlp_in_pad1536,64,1536,768,16,256,32,96,4,4,PASS,174.1,8.673927e+02,9.287e-03
q_proj_r2,64,720,960,16,144,48,80,4,4,PASS,159.7,5.538406e+02,9.393e-03
q_proj_r3,64,720,960,16,144,48,80,4,4,PASS,157.4,5.620396e+02,9.393e-03
kv_even_r2,64,720,320,16,144,48,80,4,4,PASS,97.4,3.028152e+02,9.430e-03
kv_even_r3,64,720,320,16,144,48,80,4,4,PASS,94.4,3.124717e+02,9.430e-03
o_proj_pad768_r2,64,960,768,16,320,32,96,4,4,PASS,135.6,6.961421e+02,9.458e-03
o_proj_pad768_r3,64,960,768,16,320,32,96,4,4,PASS,131.1,7.198207e+02,9.458e-03
gate_up_r2,64,720,2048,16,144,48,128,4,4,NUMFAIL,185.0,1.020094e+03,9.426e-03
gate_up_r3,64,720,2048,16,144,48,128,4,4,NUMFAIL,184.8,1.021078e+03,9.426e-03
down_pad768_r2,64,2048,768,16,256,32,96,4,4,PASS,178.7,1.126530e+03,9.276e-03
down_pad768_r3,64,2048,768,16,256,32,96,4,4,PASS,179.5,1.121635e+03,9.276e-03
kv_cross_r2,256,320,320,32,320,32,80,8,4,NUMFAIL,111.2,4.716218e+02,9.399e-03
kv_cross_r3,256,320,320,32,320,32,80,8,4,NUMFAIL,112.6,4.655651e+02,9.399e-03
bb_kv_256,256,960,320,32,320,32,80,8,4,PASS,130.8,1.202937e+03,9.387e-03
bb_gate_256,256,960,2560,32,320,32,128,8,4,PASS,455.6,2.761734e+03,9.448e-03
bb_down_256,256,2560,960,32,320,32,80,8,4,PASS,373.9,3.365561e+03,9.360e-03
