Loading expert weights...
[expert] reusing 10 cached ELFs from expert_kernel_cache (SMOLVLA_FORCE_COMPILE=1 to rebuild)
cross K/V: hoisted out of the denoise loop (16 GEMMs)

L1  teacher-forced per layer (oracle input -> one layer)
    step layer kind       cosine
       0     0 self     0.999970
       0     1 cross    0.999970
       0     2 self     0.999967
       0     3 cross    0.999964
       0     4 self     0.999972
       0     5 cross    0.999971
       0     6 self     0.999972
       0     7 cross    0.999969
       0     8 self     0.999973
       0     9 cross    0.999973
       0    10 self     0.999974
       0    11 cross    0.999974
       0    12 self     0.999973
       0    13 cross    0.999975
       0    14 self     0.999977
       0    15 cross    0.999980
       5     0 self     0.999951
       5     1 cross    0.999969
       5     2 self     0.999970
       5     3 cross    0.999972
       5     4 self     0.999972
       5     5 cross    0.999975
       5     6 self     0.999973
       5     7 cross    0.999971
       5     8 self     0.999973
       5     9 cross    0.999974
       5    10 self     0.999973
       5    11 cross    0.999975
       5    12 self     0.999972
       5    13 cross    0.999976
       5    14 self     0.999978
       5    15 cross    0.999980
       9     0 self     0.999919
       9     1 cross    0.999955
       9     2 self     0.999955
       9     3 cross    0.999965
       9     4 self     0.999967
       9     5 cross    0.999971
       9     6 self     0.999969
       9     7 cross    0.999973
       9     8 self     0.999973
       9     9 cross    0.999973
       9    10 self     0.999974
       9    11 cross    0.999976
       9    12 self     0.999973
       9    13 cross    0.999976
       9    14 self     0.999977
       9    15 cross    0.999979
    worst 0.999919  gate 0.98  PASS

L2  teacher-forced per step (oracle suffix_emb -> 16 layers)
    step  0  final_norm cosine 0.998787
    step  5  final_norm cosine 0.998776
    step  9  final_norm cosine 0.998724
    worst 0.998724  gate 0.99  PASS

PASS
