[run ] qkte_a_r2 192x64x320 tm=48 tk2=64 tk1=64 tn=80 hm=4 hn=4
       -> NUMFAIL lat=83.6us gflops=9.405325e+01 rel=9.416e-03  (4s)
[run ] qkte_b_r2 192x64x320 tm=48 tk2=64 tk1=32 tn=80 hm=4 hn=4
       -> NUMFAIL lat=82.9us gflops=9.488203e+01 rel=9.416e-03  (4s)
[run ] qkte_c_r2 192x64x320 tm=32 tk2=64 tk1=64 tn=80 hm=6 hn=4
       -> NUMFAIL lat=79.8us gflops=9.849482e+01 rel=9.416e-03  (4s)
[run ] qkte_h 192x64x320 tm=32 tk2=64 tk1=32 tn=80 hm=6 hn=4
       -> NUMFAIL lat=86.2us gflops=9.118470e+01 rel=9.416e-03  (5s)
[run ] qkte_i 192x64x320 tm=48 tk2=64 tk1=16 tn=80 hm=4 hn=4
       -> NUMFAIL lat=90.6us gflops=8.684799e+01 rel=9.416e-03  (4s)
[run ] qkto_b_r2 192x64x256 tm=48 tk2=64 tk1=32 tn=64 hm=4 hn=4
       -> NUMFAIL lat=80.1us gflops=7.850773e+01 rel=9.390e-03  (4s)
[run ] qkto_c_r2 192x64x256 tm=32 tk2=64 tk1=64 tn=64 hm=6 hn=4
       -> NUMFAIL lat=78.5us gflops=8.014798e+01 rel=9.390e-03  (5s)
[run ] qkto_e_r2 192x64x256 tm=48 tk2=64 tk1=64 tn=32 hm=4 hn=4
       -> NUMFAIL lat=82.7us gflops=7.606561e+01 rel=9.390e-03  (3s)
[run ] qkto_f 192x64x256 tm=32 tk2=64 tk1=32 tn=64 hm=6 hn=4
       -> NUMFAIL lat=75.9us gflops=8.291645e+01 rel=9.390e-03  (5s)
[run ] pve_c_r2 192x320x64 tm=32 tk2=320 tk1=32 tn=16 hm=6 hn=4
       -> NUMFAIL lat=70.1us gflops=1.121244e+02 rel=9.270e-03  (5s)
[run ] pve_a_r2 192x320x64 tm=48 tk2=320 tk1=32 tn=16 hm=4 hn=4
       -> NUMFAIL lat=69.9us gflops=1.125069e+02 rel=9.270e-03  (4s)
[run ] pve_g 192x320x64 tm=32 tk2=320 tk1=16 tn=16 hm=6 hn=4
       -> NUMFAIL lat=74.8us gflops=1.050880e+02 rel=9.270e-03  (5s)
[run ] pve_h 192x320x64 tm=32 tk2=320 tk1=32 tn=32 hm=6 hn=2
       -> NUMFAIL lat=77.9us gflops=1.009939e+02 rel=9.270e-03  (4s)
[run ] pvo_b_r2 192x256x64 tm=48 tk2=64 tk1=64 tn=16 hm=4 hn=4
       -> NUMFAIL lat=81.3us gflops=7.735923e+01 rel=9.452e-03  (4s)
[run ] pvo_e_r2 192x256x64 tm=48 tk2=128 tk1=32 tn=16 hm=4 hn=4
       -> NUMFAIL lat=67.8us gflops=9.280762e+01 rel=9.452e-03  (4s)
[run ] pvo_c_r2 192x256x64 tm=32 tk2=256 tk1=32 tn=16 hm=6 hn=4
       -> NUMFAIL lat=69.2us gflops=9.091705e+01 rel=9.452e-03  (5s)
[run ] pvo_f 192x256x64 tm=32 tk2=64 tk1=64 tn=16 hm=6 hn=4
       -> NUMFAIL lat=68.9us gflops=9.130107e+01 rel=9.452e-03  (5s)
[run ] pvo_g 192x256x64 tm=32 tk2=256 tk1=32 tn=32 hm=6 hn=2
       -> NUMFAIL lat=74.8us gflops=8.407828e+01 rel=9.452e-03  (3s)
=== done: results/expert_attn_gemm.csv ===
label      M    K    N    tile_m  tile_k_l2  tile_k_l1  tile_n  herd_m  herd_n  status   latency_us  gflops        mean_rel_L1
qkte_a     192  64   320  48      64         64         80      4       4       NUMFAIL  83.9        9.368392e+01  9.416e-03
qkte_b     192  64   320  48      64         32         80      4       4       NUMFAIL  82.7        9.505381e+01  9.416e-03
qkte_c     192  64   320  32      64         64         80      6       4       NUMFAIL  84.2        9.339748e+01  9.416e-03
qkte_d     192  64   320  64      64         64         80      3       4       NUMFAIL  88.6        8.877766e+01  9.416e-03
qkte_e     192  64   320  48      32         32         80      4       4       NUMFAIL  84.3        9.330031e+01  9.416e-03
qkte_f     192  64   320  48      64         64         16      4       4       NUMFAIL  129.2       6.086368e+01  9.416e-03
qkte_g     192  64   384  48      64         64         96      4       4       NUMFAIL  86.7        1.088280e+02  9.401e-03
qkto_a     192  64   256  48      64         64         64      4       4       NUMFAIL  79.7        7.896929e+01  9.390e-03
qkto_b     192  64   256  48      64         32         64      4       4       NUMFAIL  78.5        8.012042e+01  9.390e-03
qkto_c     192  64   256  32      64         64         64      6       4       NUMFAIL  77.7        8.095555e+01  9.390e-03
qkto_d     192  64   256  64      64         64         64      3       4       NUMFAIL  82.1        7.665292e+01  9.390e-03
qkto_e     192  64   256  48      64         64         32      4       4       NUMFAIL  78.4        8.026480e+01  9.390e-03
pve_a      192  320  64   48      320        32         16      4       4       NUMFAIL  78.3        1.003816e+02  9.270e-03
pve_b      192  320  64   48      64         64         16      4       4       NUMFAIL  71.3        1.102720e+02  7.066e-01
pve_c      192  320  64   32      320        32         16      6       4       NUMFAIL  72.2        1.089021e+02  9.270e-03
pve_d      192  320  64   64      320        32         16      3       4       NUMFAIL  96.1        8.180054e+01  9.270e-03
pve_e      192  320  64   48      160        32         16      4       4       NUMFAIL  70.4        1.116635e+02  9.148e-01
pve_f      192  320  64   48      320        64         16      4       4       NUMFAIL  75.1        1.047556e+02  7.989e-01
pvo_a      192  256  64   48      256        32         16      4       4       NUMFAIL  71.7        8.780567e+01  9.452e-03
pvo_b      192  256  64   48      64         64         16      4       4       NUMFAIL  70.9        8.878074e+01  9.452e-03
pvo_c      192  256  64   32      256        32         16      6       4       NUMFAIL  72.7        8.652266e+01  9.452e-03
pvo_d      192  256  64   64      256        32         16      3       4       NUMFAIL  74.9        8.397992e+01  9.452e-03
pvo_e      192  256  64   48      128        32         16      4       4       NUMFAIL  71.4        8.813841e+01  9.452e-03
qkte_a_r2  192  64   320  48      64         64         80      4       4       NUMFAIL  83.6        9.405325e+01  9.416e-03
qkte_b_r2  192  64   320  48      64         32         80      4       4       NUMFAIL  82.9        9.488203e+01  9.416e-03
qkte_c_r2  192  64   320  32      64         64         80      6       4       NUMFAIL  79.8        9.849482e+01  9.416e-03
qkte_h     192  64   320  32      64         32         80      6       4       NUMFAIL  86.2        9.118470e+01  9.416e-03
qkte_i     192  64   320  48      64         16         80      4       4       NUMFAIL  90.6        8.684799e+01  9.416e-03
qkto_b_r2  192  64   256  48      64         32         64      4       4       NUMFAIL  80.1        7.850773e+01  9.390e-03
qkto_c_r2  192  64   256  32      64         64         64      6       4       NUMFAIL  78.5        8.014798e+01  9.390e-03
qkto_e_r2  192  64   256  48      64         64         32      4       4       NUMFAIL  82.7        7.606561e+01  9.390e-03
qkto_f     192  64   256  32      64         32         64      6       4       NUMFAIL  75.9        8.291645e+01  9.390e-03
pve_c_r2   192  320  64   32      320        32         16      6       4       NUMFAIL  70.1        1.121244e+02  9.270e-03
pve_a_r2   192  320  64   48      320        32         16      4       4       NUMFAIL  69.9        1.125069e+02  9.270e-03
